model,n_obs,rmse_return,mae_return,direction_accuracy,balanced_accuracy,f1_positive,mcc,roc_auc,strategy_return,strategy_sharpe,max_drawdown,direction_accuracy_ci_low,direction_accuracy_ci_high,rmse_return_ci_low,rmse_return_ci_high,delta_accuracy_vs_full
full,1565,0.048591268370051496,0.026469184076793113,0.5156549520766773,0.5158583461625205,0.5184243964421855,0.031709230817386976,0.5031868681421049,1.4358267974260235,0.4142218229489725,-1.1162361613707472,0.4907348242811502,0.5386581469648563,0.03391927583000085,0.06453563199075751,0.0
market_only,1565,0.04332544832842357,0.023401747486189207,0.513738019169329,0.5116116400767463,0.5557501459427904,0.023529758699775114,0.5161827529964732,1.1029345465140228,0.31814130638469296,-1.0652024055923235,0.48690095846645365,0.5380511182108626,0.029034609035325315,0.05791336661495502,0.00191693290734829
without_sentiment,1565,0.047720881299053386,0.02623464714895861,0.5099041533546326,0.5101538521881527,0.5117759388924252,0.02030422045894461,0.4988004301454846,1.5751720971580845,0.4544530505497549,-0.8190988690499377,0.485926517571885,0.5309904153354632,0.03338177211286613,0.06284958485606845,0.005750798722044759
without_intensity,1565,0.04623935716507596,0.025006458231639217,0.5054313099041533,0.5063312447089817,0.49477806788511747,0.01268783291604008,0.496530399453493,2.083803369943327,0.601383179509925,-0.7617507933846333,0.4779233226837061,0.5284345047923322,0.03160345361138842,0.06138929959286985,0.010223642172524028
without_topic,1565,0.04790627024790169,0.026144726291991577,0.518849840255591,0.5192396949758615,0.5182341650671785,0.03848209435777932,0.5060305350996754,2.0663379134064366,0.5963355263366106,-0.7601574135533271,0.493594249201278,0.5418530351437699,0.0332865806523961,0.06366435395299638,-0.0031948881789136685
without_uncertainty,1565,0.04779013657290764,0.026162765697004445,0.5067092651757189,0.5070405271570194,0.5070242656449553,0.014080594085696509,0.5009952834351497,0.8670503432515586,0.250081359050429,-1.1971106337235997,0.48115015974440895,0.5303514376996805,0.033619111379477006,0.06284296528724657,0.008945686900958427
without_event_type,1565,0.04795928876951465,0.026324072901629077,0.5143769968051118,0.5146465191228431,0.5159235668789809,0.029288730593732572,0.5064407422297618,1.5029434291736106,0.43359842989524017,-1.169778741465878,0.4907348242811502,0.5373801916932908,0.0337308229520486,0.0632909773941583,0.0012779552715654896
without_source,1565,0.04796751399550768,0.026173626095067955,0.5086261980830671,0.5086069954207156,0.5154379332073094,0.017208114122827745,0.5066907888070654,1.350137359738886,0.38948591425824314,-1.0679821287823277,0.4817891373801917,0.5300479233226837,0.03337931410072867,0.06360898062923336,0.007028753993610248
