month,model,n_obs,direction_accuracy,balanced_accuracy,f1_positive,mcc,rmse_return,mae_return
2020-01,ARIMAX market,23,0.5652173913043478,0.623015873015873,0.6153846153846154,0.27344899741289763,0.023156619280606004,0.018151710752222737
2020-01,ARIMAX simple news,23,0.6956521739130435,0.7103174603174603,0.6666666666666666,0.41096385959265797,0.023752087362832016,0.01841070438706147
2020-01,LLM multi-agent hybrid,23,0.391304347826087,0.4007936507936508,0.36363636363636365,-0.1953363462243731,0.02879690510607684,0.022754732082657398
2020-01,Market-only Ridge/LogReg,23,0.4782608695652174,0.5714285714285714,0.6,0.24743582965269675,0.02670713549367775,0.02041831920440012
2020-01,Naive previous return,23,0.6086956521739131,0.5793650793650793,0.47058823529411764,0.16265001215808886,0.0256787681526409,0.02028226640066511
2020-01,VAR market system,23,0.391304347826087,0.5,0.5625,0.0,0.023971009905948724,0.018863391974018793
2020-01,VARX/Ridge news system,23,0.5652173913043478,0.6428571428571428,0.6428571428571429,0.3678836036909795,0.02621048862130187,0.019937106546017193
2020-02,ARIMAX market,20,0.3,0.3125,0.3,-0.375,0.02503620409014496,0.01989576865377489
2020-02,ARIMAX simple news,20,0.45,0.4375,0.35294117647058826,-0.12309149097933272,0.025363906306279948,0.01997549001226926
2020-02,LLM multi-agent hybrid,20,0.6,0.5625,0.42857142857142855,0.1336306209562122,0.023642359584952543,0.01848717786393235
2020-02,Market-only Ridge/LogReg,20,0.35,0.3958333333333333,0.43478260869565216,-0.23570226039551584,0.024542823438293383,0.01993011464688205
2020-02,Naive previous return,20,0.6,0.5833333333333333,0.5,0.16666666666666666,0.03673790585713868,0.02732975751884208
2020-02,VAR market system,20,0.45,0.5208333333333334,0.56,0.05716619504750295,0.022481852513076744,0.01845222599554979
2020-02,VARX/Ridge news system,20,0.45,0.4375,0.35294117647058826,-0.12309149097933272,0.02412015829854982,0.018896318415951147
2020-03,ARIMAX market,22,0.45454545454545453,0.5238095238095238,0.45454545454545453,0.047619047619047616,0.1183942843794692,0.08834649893963986
2020-03,ARIMAX simple news,22,0.45454545454545453,0.5238095238095238,0.45454545454545453,0.047619047619047616,0.11974051988120675,0.0887546927590292
