model,n_obs,rmse_return,mae_return,direction_accuracy,balanced_accuracy,f1_positive,mcc,roc_auc,strategy_return,strategy_sharpe,max_drawdown,direction_accuracy_ci_low,direction_accuracy_ci_high,rmse_return_ci_low,rmse_return_ci_high,rmse_volatility,qlike_volatility
Naive previous return,1565,0.05208191186618789,0.02824474269553722,0.49009584664536743,0.4897456388935194,0.5031133250311333,-0.02050872221296124,0.47687804591051275,-0.3226543665173276,-0.09305251806263577,-1.865815678562658,0.4626198083067093,0.5143769968051118,0.03432858777615567,0.06976503411364982,,
ARIMAX market,1565,0.04722885448210982,0.0232690132604939,0.4894568690095847,0.4948184792592084,0.3683794466403162,-0.011355695823247169,0.499627381571077,-0.7985951066530736,-0.2303326358581269,-2.3492209108944735,0.46517571884984027,0.5105431309904154,0.02830734686890744,0.06506772073758939,,
ARIMAX simple news,1565,0.04657056021433364,0.02339161076716134,0.49201277955271566,0.49734264225689095,0.372533543804262,-0.005816512005756875,0.49060609329188765,0.6075392092405512,0.17522008545301698,-1.8773169389840918,0.4645367412140575,0.513738019169329,0.02872226138877721,0.06311917906740117,,
VAR market system,1565,0.0662763280712807,0.02287934900932983,0.4984025559105431,0.49308286184027744,0.5874934314240673,-0.015131043684414947,0.4940544480507807,2.014081162058499,0.5812339901516625,-1.0726780342914362,0.476038338658147,0.5252396166134186,0.025360498961512826,0.10497008005449064,,
VARX/Ridge news system,1565,0.04415284861142412,0.02410983043938418,0.5086261980830671,0.5061612784080695,0.5562608193883439,0.01254318277297191,0.5181716855754176,0.49084444526847104,0.14156121122786938,-1.2574331948469304,0.48175718849840254,0.531629392971246,0.02990597957816519,0.058710570066819665,,
Market-only Ridge/LogReg,1565,0.04332544832842357,0.023401747486189207,0.513738019169329,0.5116116400767463,0.5557501459427904,0.023529758699775114,0.5161827529964732,1.1029345465140228,0.31814130638469296,-1.0652024055923235,0.48690095846645365,0.5380511182108626,0.029034609035325315,0.05791336661495502,,
LLM multi-agent hybrid,1565,0.048591268370051496,0.026469184076793113,0.5156549520766773,0.5158583461625205,0.5184243964421855,0.031709230817386976,0.5031868681421049,1.4358267974260235,0.4142218229489725,-1.1162361613707472,0.4907348242811502,0.5386581469648563,0.03391927583000085,0.06453563199075751,,
GARCH volatility,1565,,,,,,,,,,,,,,,0.012021754132746061,-6.171792361786802
